,Text,value
0,bậy nào cali giờ đóng_cửa sao cạo móng mới mở_cửa tháng giờ đóng_cửa chuyến thành vô gia cư đám,0
1,nói thế dân việt nam mình ngu à,1
2,đương_nhiên cảnh_sát chìm dân nào đi phản đồng_bào,1
3,cảnh_sát chìm ngày_xưa đi lùng tội_phạm giựt dây_chuyền ngày_nay kiêm luôn đánh dân phản_động tự_hào quá côn an ơi,1
4,thái lan nghèo,0
5,ai giết bắc hà ku hợp_hiến_pháp cộng_hoà xã_hội chủ_nghĩa việt nam việt_nam,1
6,tao người việt nam đây tao đứng đầu thằng_cha con_mẹ mày tao bắt_đầu đái xuống đầu ngu mày mày khôn t nhé,1
7,chính_xác dân ai giật_dây hết đừng vu thế_lực thù_địch xúi_giục nhận k nọ đồ nghen dân việt nam đấu_tranh dân_tộc việt đảng đấu_tranh dân_tộc hoa nha,1
8,nói thiệt ước mình đc giúp_sức đập bọn chó ngu trận phê,1
9,phía bên kia chiến_tuyến người_ta công_an ngợi l tưởg công ano đẹp công_an ngợi dân_chủ cách tập_hợp_con_người thế,1
10,đổ_thừa thường hay nhắc cộng_sản kkk,1
11,nó đi biểu_tình đòi quyền làm người kkk,0
12,đầu nghĩ bọn nó gán công_an chìm đánh dân,1
13,haha bác nóng tánh quá gặp e e đập mấy mẹ đội nón hồng má nhìn luôn còn đàn_ông mấy anh lo kkk,0
14,về đứng nè thằng mồm to,0
15,cắn bậy xích mõm,0
16,trật_tự tầu đi chuẩn công đánh cộng_sản cộng_sản độc_tài chết nhiễm covid,1
17,bao_giờ tới người dân việt nam xuống đường đòi_hỏi nhà_nước csviệt nam đi người dân thái lan đời_sống tốt hơn người dân việt nam gấp gần trăm lần,1
18,ghê dị ông anh,0
19,nào ông_bà mày bố_mẹ mày con vợ mày chết sặc cức việt nam cộng_hoà,0
20,vụ biểu_tình nămày ở thái lan lấy cảmày hứng tân hay tân biết màyâu thuẫn giữa phe_phái ở thái lan lâu vài_ba nămày diễn biểu_tình làmày quái cảmày hứng hongkong chán tân ghê thật dạo bên mày khó_khăn quá chạy tiêu kiếmày thêmày thu_nhập làmày chất_lượng bài viết kémày quá rảnh đăng tin thamày nhũng tiêu_cực trong nước còn hay hơn ấy,0
21,biểu_tình quyền hợp_hiến quốc_gia_tư_bản dân_chủ kể thời chiến_tranh việt nam cộng_hoà phe thân cộng_sản biểu_tình lấy cớ đàn_áp thời thực_dân xã_hội chủ_nghĩa,0
22,độc_tài nước nào chẳng sợ biểu_tình sợ lòng dân,0
23,thế ông nhớ nguyên_nhân đâu thái lan thành à đấu_đá đảng đấy bầu_cử đảng đối_lập nó biểu_tình bạo_loạn mấy tháng trời còn đặc_quyền hoàng_gia thiếu nước tồn vấn_đề đâu,0
24,ông khẳng_định việt namàyày đa đảng trung tuốc màyàyua chuộc màyàyột đảng nào gây chia_rẽ xung_đột đến đảng dân_chủ màyày cáo_buộc trung tuốc màyàyua chuộc hay ông trumàyàyp nói biden biến màyày thành xã_hội chủ_nghĩa,0
25,biểu_tình lòng dân biểu_tình đến nào chính_phủ tốt mới thôi đâu nước_độc_tài_chính_phủ xấu biểu_tình chính_phủ xấu duy_trì hàng chục năm,0
26,lôi trung tuốc mua_chuộc giữ xã_hội chủ_nghĩa nhằm hút máu nhân_dân nhìn xem đài loan trung tuốc mua_chuộc nhìn xem đảng thân trung bên thất_bại sao độc đảng mua_chuộc nhìn trung tuốc hiện_nay m đất_nước thấy sao mua_chuộc ư,0
27,đến nước văn_minh mĩ còn biểu_tình suốt ngày đm lũ ngu thế mĩ tốt_đẹp thế sao dân mĩ biểu_tình đm suốt ngày xúi dân việt nam biểu_tình làm_chi yên_lành,0
28,dân màyàyàyàyàyày biểu_tình chính_phủ màyàyàyàyàyày hoàn_thiện màyàyàyàyàyày hề nói màyàyàyàyàyày thiên_đường chính người cố_định_cư màyàyàyàyàyàyới nói màyàyàyàyàyày thiên_đường ai kia tự khen thiên_đường xã_hội chủ_nghĩa màyàyàyàyàyàyà dân hay kể đảng_viên tiền bỏ màyàyàyàyàyày chất xámàyàyàyàyàyày đến tiền_tài,0
29,chợt nhớ cô công_an sĩ màyới ăn màyừng quốc_tịch mày sao cô ấy chọn việt nam yên_lành,0
30,ô thế đảng ở đài loan đập nhau ở văn_phòng quốc_hội xem thử đảng đối_lập thán tàu,0
31,việt nam đập nhau nghị_trường quốc_hội thuốc chết phía nguyễn bá thanh hay trần đại quang đi thuốc nhân_vật cấp cao khác đảng_viên già biết dám nói ngoài lung_tung,1
32,phán thần ghê quá anh ơi,0
33,ghê đâu giống vụ tứ trụ đợt thông_báo bình_bầu toàn dân dân phản_động biết sạch kết_quả hết còn tam trụ trần đại quang thuốc chết xanh_lè bệnh lạ đấy thôi quan_tâm đến báo lề trái biết rõ,1
34,hỏi ngu hỏi,0
35,trả_lời hộ,0
36,sao giờ dân biểu_tình ghê giờ nước nào biểu_tình vt bay cổ_vũ liền thôi vt đổi tên thành_hội cuồng biểu_tình luôn đi,1
37,đa đảng một đảng mua_chuộc đảng kia phát_hiện thông_báo báo_chí độc_lập còn độc đảng mua_chuộc báo_chí độc_lập còn nguy_hại hơn nhân_dân thể mạo_hiểm_trung tuốc thể_chế mua_chuộc đảng dễ_dàng,1
38,truyền_thông mày dù bên nào màyua chuộc nó đa_dạng chấp_nhận tư_nhân chấp_nhận độc_lập diệt sạch báo lề trái việt_nam,0
39,chống trung tuốc ngày_xưa thân nga hơn thân trung_liên xô sụp_đổ khác bắt_đầu cài cắm thứ nguy_hiểm hàng chục năm giờ lộ khá rõ,0
40,công_nhận làm con_người chính_trị t nhức đầu vl,0
41,rùi hết mệt,0
42,hi đồng_bào ai súng dùng súng ai gương dùng gươm cuốc xẻng thuổng đc đưa tay đưa chân nào tầu chuẩn vượt thái_bình dương công đánh cộng_sản thằng nào sống làm tổng_thống thằng nào chết tạc bia thả trôi_sông,1
43,khỏi công_an làm dân xử chúng con dog kkk phản_động kkk,1
44,xin vid ông ơi,0
45,tui quay người_ta đâu,0
46,ơ hay thái lan đồng_minh mĩ bọn dám cắn à,0
47,t chống mắt xem việt tân lật_đổ quốc_vương thái lan nào,0
48,thái tân,0
49,còn tôi khuyên rời xa việt tân hãy chọn khác việt tân sống hai màyặt ở mày sức bảo_vệ blmày antifa kẻ chủ thuyết màyác lê quyền obamàya làmày vt ở việt nam_vô_nghĩa,0
50,còn cá_nhân tổ_chức khác đừng nghe vt màyọi ng tôi tin việt tân biết chúng bảo_vệ nhómày cầmày cờ búa liềmày đi biểu_tình cướp phá ở mày chúng đc việt tân màyặt ủng_hộ họp_báo ủng_hộ,1
51,dân thai phía kẻ chống lưng tài_giỏi mẹ,0
52,gọi âm_mưu diển biến hoà_bình,0
53,thái gặp dân nghệ_an hà_tĩnh thanh_hóa ở chui làm osin đầy họ bán trái_cây_nước ép hỏi họ sao ở họ nói ở việt nam khổ quá mấy com bò đỏ hay bake tin đi biết,1
54,ở mày úc đâu_đâu,0
55,tiền ở đéo đâu chẳng khổ tiền ở đéo đâu chẳng sướng chung_quy tiền chế_độ ok còn hãy hỏi sao đầy ng chẳng quan c lol giàu mình giàu đc mình kém thế thôi,0
56,tự bầu_tự lật,0
57,quân_đội lật tự bầu_tự lật hồi nào vấn_đề lật xong chịu trao_trả quyền_lực dân mới biểu_tình,0
58,dkm vịt tần âm_mưu chắc lô vũ_khí ế định gây_hấn tạo chiến_tranh tg thứ à,0
59,họ bầu_chấp_nhận sống chung lũ,0
60,lo vụ biểu_tình con_số nhiễm covid tăng vọt thôi,0
61,ở việt_nam chờ tân về lãnh_đạo,0
62,thái lan vãi thật vài năm biểu_tình lật_đổ chống chính_quyền chịuuuu,0
63,lãnh_đạo,0
64,nói tầm_bậy hốt đầu,0
65,thái lan ma ngheo việt nam la cực k nghèo,1
66,t biết kiểu đám công_nhân nó chèo_kéo việt nam thôi cha_mẹ cháu nhờ phân_xử xử sao đi m còn bỏ mồm đi biểu_tình lấy ứt ăn,1
67,ai độc_tài nói vua thái hả cô chừng tội quân bển du_lịch bỏ_tù nha,0
68,vua thái hình_tượng thôi hoàng_gia thái đâu tham_gia chính_trường hoặc đứng về đảng_phái nào,0
69,vâng hình_tượng tốn đống tiền nuôi biểu_tượng đấy đấy xem vua thái gia_đình ăn_chơi đi,0
70,tôi đọc bài viết thấy con_gái vua thailand m thiết_kế thời_trang ai chê xác_định,0
71,sao nhà_vua cha truyền con nối ngồi chơi xơi nước năm năm khác dân nó thờ chúa tôi ngai vàng lật đầu_tiên mới đúng,0
72,ung ho thai lan,0
73,đừng việt tân xỏ_mũi chúng_ta rời xa việt tân mọi ng nhé còn ch khác trang xã_hội hay nhóm thuộc cá_nhân tổ_chức khác họ thực chống cộng_sản việt tân sống hai mặt đâu mọi ng,1
74,cha nắm quyền mẹ trung_quốc,1
75,ủa luật quân nào xúc_phạm hoàng_gia phản_đối chính_phủ chòi viết k cục quá à,1
76,kinh còn lo thái,1
77,một bộ_phận nhỏ thôi cộng_sản lãnh_đạo tốt việt_nam,1
78,nhìn thế_giới nước giàu văn màyinh mày pháp hong kong thái lan vv người dân áp_bức bất_công kéo nhau biểu_tình bạo_loạn cảmày thấy tự_hào màyình người việt nam sống màyãnh đất việt namày đcsviệt nam màyuôn nămày,1
79,thế việt tân nói đa đảng mới phát_triển đa đảng mới dân_chủ_nhân_quyền,1
80,việt tân_k não chấp làm b kkk,1
81,thế dám trưng_cầu dân đa đảng hay độc đảng,1
82,đừng lấy đảng áp_đặt lòng dân giặc trung ngày mạnh còn đảng ngày co_cụm cuối đất_nước lâm_nguy kẻ cao_cấp ở hô_hào kiên_định cao chạy xa bay tư_bản nhân_dân đảng_viên ngây_thơ ở nhìn giặc xách súng đi nghênh_ngang,1
83,thất_bại mẹ thành_công người dám nhìn_nhận thất_bại giảng_dạy kinh_nghiệm mới bậc cao nhân còn trẻ trâu cứng_đầu hoang_tưởng đến mất nước mới nhận sai coi_chừng muộn,1
84,thất_bại một lần thôi quá đủ anh à,1
85,tôi đốt muốn hcm làm bình_phong công_cụ chế_độ bất_nhân hãy chia_sẻ bạn lương_tâm,1
86,nhìn mày giống thằng thiểu_năng cơ,0
87,dlv biết nói thôi à,0
88,thế mày biết làmày ngoài fb youtube làmày trò_hề,0
89,trò_hề bạn quan_tâm tự nhìn mâu thuẩn mình đi kiếm lương_thiện làm uống máu đồng_loại lẽ_nào trời_đất dung_tha,0
90,đù thằng thiểu_năng,0
91,tôi muốn nhắc ông sai chính_tả thôi mâu_thuẫn mới đúng,0
92,đồ phản_quốc,0
93,cảm_ơn bạn án bán_nước tham_nhũng giết dân,1
94,k tao nói mày thẳng phản_quốc,0
95,chúng_nó bao_nhiêu,0
96,đủ mua lịch,0
97,súc_vật,0
98,lắm phá_hoại cuộc_sống tôi phá công cô_lập tuyên_bố tôi chết đói tuyên_bố tôi sống khó hơn chết thù vặt xúi tôi tự_tử xúi tôi ly_dị vợ mua_chuộc người quen rủ tôi làm phạm_pháp bắt vu_oan vu khốngvv còn nhớ hết bạn thấy tôi đc,1
99,ôi đm ông m ông một người nào quan cmn trọng lắm ai rãnh đâu nghĩ đống hại ông muốn bắt bỏ_tù xong tộinếu người_ta muốn m bớt coi phim nha,0
100,đồ giả_tạo cộng_sản chơi đàng_hoàng ông nói ngon kể chơi trò nhớp thuê người ban_đêm nhảy vô vườn người_ta đâm thủng lốp xe đâu_đấy đồ_chơi nhớp,1
101,sao ông chắc_chắn họ thuê người m chứng_minh lời ông nói thật,0
102,hahaha nghe phim hài thề tui thuê tui tháo luôn bánh đâm lũng,0
103,chơi nhớp,0
104,ngày mày rút quân về nước màyà quên tiêu_hủy bomày giờ màyấy bác ở trong rừng lượmày về cưa giờ màyới nổ quá trời,1
105,anh_em ruột anh đại_bác sao giống thế nh,1
106,hà_nội trở_thành trung_tâm khoa_học công_nghệ hàng_đầu đông nam á hoan hôv tay song nồi chén dỉa đánh beng bengnhưng mấy năm hết thế k nầy đả hoàn_thành đừng dân hanoi ăn bánh_vẻ hơi tội,1
107,thời kháng_chiến,0
108,thăng chăc la khoi nươc viêt nam mơi phat biêu vơ vân,0
109,thời xl,0
110,ua bưa nghe bên tre la silicon valley roi ma gio hn moi den dna thoi sao,1
111,bệnh nặng lắm chịu uống thuốc,0
112,thua con_cháu bác hô huyền,1
113,đảng_viên bác con ông cháu cha một câu nói mày biết bố tao ai,1
114,ai hỏi tôi câu nầy tôi xin trả_lời,0
115,bố mầy k sinh trùng ông nội mầy sinh mới mầy đấy thằng cu à,0
116,bạn ơi tư_cách trường đào_tạo mất_dạy tụi khốn_nạn bộ_óc bò chắc nó hiểu bạn nói đâu,0
117,nó bệnh_viện người nào già già nước_mắt nước_mũi tùm_lum đúng nhìn nó thế biết bố nó ai ahihi mình thông_minh thật,0
118,mày biết bố mày ai,0
119,đúng anh ấy hỏi mẹ mình mới rõ,0
120,trả_lời,0
121,bố tao đương_nhiên tao biết,0
122,còn thằng bake lozz màythì đéo biết,0
123,nhìn mấy thằng hề vơ đũa nắm mắc cười vl,0
124,phim tô lâm đạo diển hả,0
125,anh nhận em con_nuôi em bố nhé khổ_thế,1
126,bò đỏ đóng phim,1
127,biết bố mày ông nội hù chí minh còn mày cháu ngu boác hù em nói thế đúng quy_trình h mạng lồng chí kakaka,0
128,thằng hu chi mày,0
129,tuyên_truyền bậy_bạ xuống ha_ha,0
130,khoe rầm trời thôi,0
131,hình người cộng_sản biết bố mình ai thời dịch_vụ thử adn ng giờ họ hỏi câu,1
132,chính cộng_sản kẻ xâm_lăng con tố cha vơ tố chồng địa chủ cường hào ác_bá vv giết chết hàng mấy vạn người hcm đưa an_ủi khóc_lóc chẳng giọt nuóc mắt nào dân khỏi nổ loạn kịch cm,1
133,nhìn mặt biết thế_nào,0
134,mày biết thủ_tướng t ai hôngngài trump aingài mới học tinh_thần yêu nước bên việt nam gìvt ơi t xem nguồn viđeo ghi_âm trẻ_em nó xem thôi,1
135,công_an côn_đồ hay côn_đồ công_an,1
136,tu trường_hợp tùy nhu_cầu họ biến_hoá khôn_lường,1
137,cuối nó tên,0
138,trần long_vương thằng hay sao bác nhỉ,0
139,bản_chất cộng sạn dối_trá lừa_bịp chúng no chết đi trong khinh_bỉ nhân_loại,1
140,chúng luôn tìm một thủ_đoạn nào lợi bọn chúng,1
141,viẹt tân đáng tin bảo_vệ đámày màyác lê cầmày cờ búa liềmày đi đập phá ở mày việt tân bảo_vệ chúng còn ở việt tân màyuốn làmày tôi tin kẻ sống hai màyặt vt đâu ai tin coi_chừng hoạ tới,-1
142,việt tân chủ_trương ủng_hộ bạo_loạn thể cộng_sản việt tân hàng chục năm nay luôn án chế_độ độc_tài cộng_sản l chúng_tôi phủ_nhận chúng_tôi làm trong quá_khứ,-1
143,bạn tìm_hiểu thêm,0
144,tin đc họp_báo ủng_hộ blm tùm_lum kêu ủng_hộ bớt dóc láo đi ng sáng_lập còn thấy gai_mắt,-1
145,nói ai nói hay hết họp_báo ủng_hộ mặt blm antifa thế_nào biết chúng kẻ gây bạo_loạn à luận_điệu cộng_sản chúng nói thường đấy,1
146,đảng_viên hollywood,1
147,thói_quen thể thay đổicòn bản_chất chắc bh,0
148,bái_phục văn_phong hài_hước chủ thớt đọc cười v bụng,0
149,hà_nội hơn năm văn_hiến đâu,1
150,đảng con đảng,1
151,bố thiên_hạ,0
152,à thế đôi bố anh mẹ anh còn chắc sao dân ngu cu đen chúng_tôi biết đc,0
153,mừng quá bố con họ đoàn_tụ,0
154,chắc bố con vui_vẻ,0
155,đoàn_tụ dzui đ gặp ai hỏi biết bố mày ai,0
156,hỏng mẹ nó zùibao công_lao ông diễn,0
157,nó biết phân_thân,0
158,đảng ziên pác,1
159,ai biết làm đc,0
160,nkyn toàn hội_tụ thiên_tài c soi,1
161,bố nó bt dạy nó ở gần nhà thằng sĩ_quan biên_phòng nó nói bố nó bao_giờ đam chửi nó hèn nó mất_dạy dã_man,1
162,bộ chửi mất_dạy sao tôi biêt thằng con giám_sát thằng bố báo_cáo hàng tháng chi_ủy xã bà nội bố nó dám chửi bâng_quơ hà_hà,1
163,lu sâu mot ha hiêp boc lôt hơn thơi ky phap hô,1
164,công_an nhân_dân học_tập làm tấm gương dao đức_hcm,1
165,nhan dan de nghi nganh cong an khong nen thue nguoi quay tinh trang_vi pham giao thong ma_phai dung nguoi cua nghanh va trang thiet bi duoc trang cap dung di_thue bon xa hoi lam nhung viec nay neu can nguoi dan se tung len mang nhung viec lam trai voi quy dinh cua nganh,1
166,con_hoang đến thành cán_bộ mới đồng_chí còn đồng_chí nào,1
167,biết bố mày ai,0
168,ở bên kia vĩ_tuyến,1
169,người bắc k thường giọng biết bố mầy ai,1
170,loại súc_vật sao bác trọng bắt nhốt nhỉ,0
171,ngày bé tao hay chêu chó giờ già mẹ nghĩ xem trò vui may quá thấy trang vịt tần,0
172,biết bố mày ai hả,0
173,bố nó hình chôn thằng bố dòng_họ nhà nó,0
174,bố chêu chó đuổi cắn chết dòng_họ nhà mày bây_giờ,0
175,trí trịnh bố mày chọc chó,0
176,chó mày chọc bố hả,0
177,côn đô va côn anla bô con cua nhau,1
178,gửi đơn hề cuộc chia_ly con nó gặp bố nó đi,0
179,biết bố nó tên minh ai,0
180,bố mày tên bô mày sinh rớt nhằm bô ai bt bố mày tên gọi bô dễ nhớ,0
181,nhà_sàn tấu hài,0
182,cháy mới lòi mặt chuột,0
183,cao to the_ma o biet bo may la ai,0
184,đến tận nhà đánh nó lòi bố nó đi,0
185,chắc bố bố nó công_an kiêm diễn_viên,1
186,việt tân bịa nhỉ hay nhà sản bày trò,1
187,anh_em giong nhau công_an,0
188,v diễn_viên pro nhất thế_giới điện_ảnh xã_hội_đen,0
189,con tuổi bố ít_nhất tầm tuổi,0
190,sai kg nhỉ,0
191,yeu the thi chung con_con thay hoi manh len mot chut la chung ong ay ma,0
192,gia_phả ở chắc sắp tàn bố mày ạ,0
193,thấy ảnh số cuối người khác nhau,0
194,t tưởng cha chung hồ chó minh cha nó,1
195,đệ ông tô lâm toàn du_côn,1
196,thối_nát một chế_độ,1
197,dien tuong hay nhi,0
198,méo biết bố nó ai,0
199,đm bố thằng lưu_manh loại đầu trâu mặt ngựa mặc áo csgt,1
